日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-08-01 09:18,HAK,1131,737-800,24,4,36,0,4,4,36,0,是,是,,,
2019-08-01 08:34,FOC,5182,737-800,28,2,34,0,4,4,34,0,,,,,
2019-08-01 08:34,HHA,1373,737-800,30,5,34,0,5,5,33,0,,,,,
2019-08-01 08:26,MIG,5732,737-800,30,4,34,0,5,4,32,0,,,,,
2019-08-01 08:25,MIG,7167,737-800,30,9,38,0,7,6,34,0,是,,,,
2019-08-01 08:24,MIG,5409,737-800,30,5,36,0,5,5,34,0,,,,,
2019-08-01 08:17,FOC,5418,737-800,29,8,32,0,6,6,32,0,,,,,
2019-08-01 08:14,KMG,5292,737-700,20,0,0,4,0,0,0,4,,,,,
2019-08-01 07:31,PEK,5466,737-800,30,0,24,0,4,6,26,0,,,,,
2019-08-01 07:04,CGO,1586,737-800,31,5,30,0,4,4,31,0,,,,,
2019-08-01 07:03,XIY,5481,737-800,26,4,30,0,5,5,30,0,,,,,
2019-08-01 07:03,URC,2159,737-800,26,5,27,0,5,6,28,0,,,,,
2019-08-01 06:54,FOC,7113,737-800,29,8,34,0,7,7,36,0,,,,,
2019-08-01 06:44,XIY,1163,737-800,27,2,30,0,2,2,30,0,,,,,
2019-08-01 06:43,CGO,1495,737-800,27,4,32,0,4,4,32,0,,,,,
2019-08-01 06:23,XIY,1215,737-800,27,4,22,0,3,2,28,0,,,,,
2019-08-01 06:06,URC,5502,737-800,26,5,27,0,5,24,27,0,,,,,
2019-08-01 05:52,KMG,6809,737-800,20,5,26,0,6,5,26,0,,,,,
2019-08-01 05:51,KMG,1798,737-800,20,5,28,0,6,5,26,0,,,,,
2019-08-01 05:31,XIY,1161,737-800,26,4,29,0,3,3,29,0,,,,,
2019-08-01 05:27,PEK,5371,737-800,30,6,32,0,4,5,32,0,,,,,
2019-08-01 05:15,URC,5620,737-800,25,5,30,0,4,5,29,0,,,,,
2019-08-01 05:11,ZGC,5346,737-800,20,6,27,0,4,6,24,0,,,,,
2019-08-01 05:10,XIY,7618,737-800,30,5,35,0,5,5,33,0,,,,,
2019-08-01 05:05,CKG,1799,737-800,26,4,32,0,4,6,33,0,,,,,
2019-08-01 04:58,PEK,1501,737-800,31,4,35,0,4,4,34,0,,,,,
2019-08-01 04:54,URC,1727,737-800,23,4,30,0,4,4,28,0,,,,,
2019-08-01 04:52,HHA,1101,737-800,26,6,36,0,6,6,34,0,是,,,,
2019-08-01 04:49,DLC,1497,737-800,28,4,35,0,3,4,35,0,,,,,
2019-08-01 04:41,FOC,5430,737-800,29,6,38,0,6,6,37,0,是,,,,
2019-08-01 04:41,DLC,5733,737-800,27,5,34,0,5,4,34,0,,,,,
2019-08-01 04:35,HGH,1547,737-800,30,6,32,0,6,6,34,0,,,,,
2019-08-01 04:34,URC,5798,737-800,26,4,25,0,4,5,26,0,,,,,
2019-08-01 04:25,XIY ,5479,737-800,25,8,30,0,8,7,30,0,,,,,
2019-08-01 04:16,URC,6808,737-800,25,3,29,0,3,3,24,0,,,,,
2019-08-01 04:14,KMG,6015,737-800,19,5,23,0,4,4,21,0,,,,,
