机型,制造序列号,机号,参考类型,件号,序号,件号描述,装上件号,装上序号,安装日期,拆换日期,章节号,部件装上使用小时数,部件装上使用循环数,部件拆下使用小时数,部件拆下使用循环数,部件本次装机使用小时,最近送修公司,送修至拆下时间/FH,送修至拆下时间/CY,故障描述,故障处理,拆换原因
73N,73N06587,1315    ,DE    ,1851M36P12              ,GRT31099        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRT01505        ,2017-09-10,2019-06-15,80    ,00:00,0,5986:10,2913,5986:10,,, ,起动机左发N2不上升START ENG NO.1 NOT N2 SHOW UP,"   检查发现左发起动机损坏，依据AMM80-11-01更换左发启动机，磅卡箍至120磅寸，地面试车正常（磅卡号0613084730）CHK FOUND LH STARTER BROKENIAW AMM80-11-01 REPLACED THE LH ENG STARTER TORQUE THE CLAP TO120POUND-TORQUES,GND TEST NML.TORQUE NO.0613084730.ZUH",FAIL  
73N,73N05472,1435    ,DE    ,1851M36P12              ,GRT11598        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTF4105        ,2015-06-22,2019-06-12,80    ,00:00,0,10994:35,6833,10994:35,,, ,航后检查发现右发启动机本体上一螺杆缺失。陈海林AF CHECK AND FOUND R ENG STARTER HAVE LACK OF ONE SCREW.,"   航后参考AMM80-11-01将B-1435右发启动机与B-5503右发启动机对串，试车测试无渗漏，检查正常。陈海林AF REFER AMM80-11-01 TAKE B-1435 R ENG STARTER STRING WITH B-5503R ENG STARTER COMMISSIONING,TEST OK,NO LEAKING,CHECK OK.",CAN   
73N,73N05906,7175    ,DE    ,1851M36P12              ,GRT19382        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTF2780        ,2016-05-04,2019-06-02,80    ,00:00,0,8978:23,4762,8978:23,,, ,,"   执行工卡EOCOM-71-0059左发防空停关键检查项目 检查发现左发起动机壳体安装螺钉损坏 更换左发起动机, TAG:3867594   何建FISNEIHD THE TASK EOCOM-71-0059 KOY INSPECTION PONTS OF CFM566-7BFOUND THE LH STARTER BOLTS DAMAGE REPALCE THE LH STARTER",SCH   
73N,73N05558,6016    ,DE    ,1851M36P12              ,GRT12821        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTA2873C       ,2015-08-31,2019-05-29,80    ,00:00,0,13040:45,6410,13040:45,,, ,航后发现左发启动机自封活门失效 王炜捷AF FOUND L/H STARTER SELF-LOCK VALVE INOP,  航后依据 AMM80-11-01 更换起动机检查测试正常挂签号：3857808 王炜捷AF REFER TO AMM80-11-01 REPALCE L/H ENG STARTER SELF-LOCK AND TEST OKTAG:3857808  P/N:S3225-16033,FAIL  
73N,73N04449,5805    ,DE    ,1851M36P12              ,GRTF8400        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTF3827        ,2018-12-04,2019-05-29,80    ,16678:24,12535,18028:04,13565,1349:40,武汉航达,1349:40,1030,航后检查右发起动机本体螺钉断裂 李树清The screw of the right starting motor body was broken after inspection,  航后依据AMM80-11-01 拆下右发起动机并封堵检查正常  李树清AF REFER TO AMM80-11-01Remove the right initiating motor and block check as normal,FAIL  
73N,73N05006,1995    ,DE    ,1851M36P12              ,GRTF8775        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTF7157S       ,2019-05-13,2019-05-23,8011  ,16827:38,8534,16917:45,8573,90:07,,, ,由于需拆下右发启动机翻修.柯展鹏due to should repair the starter of R/H engine to rerision," 航后依据AMM80-11-01更换右发启动机,测试正常.柯展鹏AF refer to AMM80-11-01 repalce the starter if R/H engine.test ok",FAIL  
73N,73N06049,7618    ,DE    ,1851M36P12              ,GRT22355        ,(AOG)STARTER ASSY                                           ,1851M36P12              ,GRT21675        ,2016-08-14,2019-05-16,80    ,00:00,0,7953:14,4138,7953:14,,, ,"起动二发时,活门开.压力上升 N2不转.(为0) 后起动一发成功.后双点火起动二发仍不成功. N2不转.最后滑回检查.   机组",    航后依据AMM80-11-01 更换右发起动机.试车正常. 检查无渗漏.蔡少飞RII梁聪杰AF refer AMM80-11-01 replaced right engine starter power planttest OK check no leakage封圈 packing   S3225-222 封圈 packing   S3225-160,FAIL  
73N,73N05483,6015    ,DE    ,1851M36P12              ,GRT21675        ,(AOG)STARTER ASSY                                           ,1851M36P12              ,GRT02652        ,2017-10-15,2019-03-29,8011  ,4184:40,2103,8818:21,4333,4633:41,,, ,航后检查发现左发起动机本体螺钉断裂 郭朋飞AF CHECK AND FIND LEFT ENGINE SCREW IS BROKEN, 航后依据AMM80-11-01更换左发起动机，测试正常 郭朋飞AF REFER TO AMM80-11-01 REPLACE THE LEFT TEST IS OK,FAIL  
73N,73N04678,5853    ,DE    ,1851M36P12              ,GRT21674        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTA7790        ,2018-08-03,2019-03-18,8011  ,6407:09,3100,8262:03,3921,1854:54,北京丰荣,1854:54,821,航后检查右发起动机本体螺钉断裂。     覃海波AF CHECK  A BOLT LOST FROM RIGHT ENG STARTER.,"  依据AMM80-11-01更换右发起动机，试车检查正常。   覃海波试车：毛梁REF AMM80-11-01 REPLACE THE RIGHT ENG STARTER, TEST OK.",FAIL  
73N,73N06483,1480    ,DE    ,1851M36P12              ,GRT23781        ,(AOG)STARTER ASSY                                           ,1851M36P12              ,GRT22067        ,2017-06-30,2019-01-25,80    ,00:00,0,4412:39,2405,4412:39,,, ,飞机出港启动阶段左发起动机崩溃。李定良LEFT ENGINE STARTER CRASHES DURING THE DEPARTURE PHASEOF THE AIRCRAFT.,"                   航后 1. 依据AMM80-11-01更换起动机，测试正常，2.参考AMM12-13-11多次冲洗滑油系统后检查左发AGB/TGB前后收油池磁堵，检查正常，4.参考AMM79-21-03更换供油油滤，测试正常，参考AMM79-21-06更换回油滤，测试正常，5.参考  李定良  必检：王彬TO[FLB0023157B]FLB00023157BFROM[FLB0023157A]AMM79-00-00办理每10-20个飞行循环检查AGB/TGB 磁堵。AF 1.REF TO AMM80-11-01 REPLACE STARTER TEST IS NORMAL,2.REF TO AMM12-13-11 MORE TIME FLUSH THE OIL SYSTEMAFTER ,CHECK THE LEFT ENGINE AGB/TGB FWD AFT CHIPDETECTORSTO[FLB0023157A]FLB00023158AFROM[FLB0023157B]CHECK IS NORMAL, 4 .REF TO AMM79-21-03 REPLACE OIL SUPPLYFILTER TEST IS NORMAL,REF TO AMM79-21-06 SCAVENGE OILFILTER ELEMENT TEST IS NORMAL,5.REF TO AMM79-00-00 OPENFC201903430 NEED TO RE-EXAMINE THE AGB/TGB CHIP DETECTOREACH 10 TO 20 CYCLES.",FAIL  
73N,73N06049,7618    ,DE    ,1851M36P12              ,GRT22067        ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTA5070CC      ,2016-08-14,2018-12-07,80    ,00:00,0,6727:57,3524,6727:57,,, ,航后检查左发起动机本体螺钉脱落。    覃海波AF CHECK A BOLT FALL OFF FROM ENGINE 1 STATER.,"   航后依据AMM80-11-01更换左发起动机，慢车测试正常，无渗漏。试车：毛梁恢复飞机正常。                                         覃海波、李威威AF REF AMM80-11-01 REPLACE THE STATER OF ENGINE 1，IDLE RUNNING TESTOK,NO LEAKAGE，PUT THE AIRCRAFT LACK NORMAL.",FAIL  
73N,73N01291,5249    ,DE    ,1851M36P12              ,GRTF8389        ,(AOG)STARTER ASSY                                           ,1851M36P12              ,GRTF9613        ,2018-11-04,2018-11-06,73    ,16052:50,8583,16052:50,8583,00:00,武汉航达,1078:54,888,见FLB62272881B为保障B-5805飞机见本机左发起动机串至5805See FLB62272881B for securing the b-5805 aircraft to the left initiating motive string of the aircraft to 5805杨磊,    航后依据AMM80-11-01更换左发起动机结果符合工卡要求挂签号:0014205AF REFER TO AMM80-11-01 REPLACE TEH STATER OF L/H ENGINE TEH RESULT ISOK杨磊P/N:S3225-160-S3225-222,FAIL  
