机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73C,73C02581,2938    ,DE    ,CC    ,541674-4                ,72-5841         ,21    ,X,X,FAIL  ,2000-10-20,00:00,0,00:00,0,2009-03-11,45588:44,31000,45588:44,31000,L RAM DOOR FULL OPEN 全程亮。  李启通,45588:44,          过站时间短，航后处理，根据MEL21-07放行。  腾飞TR:BECAUSE OF SHORT TIME REPAIR IT AT AF.DIPATCH THE PLANE REFTO MEL21-07.航后地面通过对串左右冲压空气作动器做测试（AMM21-52-11）确认为作动故障，由于航材无料，已申请，并办理DD0000182。宁松AF:TEST THE RAM AIR ACTUATOR MAKE SURE THE ACTUATOR WAS FAULTBECAUSE LS TO HANDLE DD0000182见FLB0006236航后根据AMM21-51-11更换左冲压空气作动器通电测试正常，取消保留DD0000182.    易光AF:REFER TO AMM21-51-11 REPLACED L RAM AIR ACTUATOR TEST OK ANDCANCEL DD0000182,31000,541674-4                ,99-8351         ,,17170,33376.09,, ,(AOG)ACTUATOR-EXHAUST                                       ,674840,0006233 
73C,73C02581,2938    ,DE    ,CC    ,541674-4                ,106-6710        ,21    ,X,X,FAIL  ,2009-01-23,45119:11,30702,35608:49,21413,2009-04-29,46020:41,31254,36510:19,21965,重庆短停检查发现右空调冲压空气作动器失效。　　乔建忠 TR: CHECKED ANDFOUND THE R/H PARK RAM AIR DOOR ACTUATOR FAILED.,901:30,"     按MEL21-05放行，完成“M”项，锁定冲压门在开位，提醒机组注意“O”项操作。　　　乔建忠 RELEASED ACCORDING TO MEL21-05,COMPLISHED""-11更换右侧冲压空气门作动器，并测试工作正常。周绍伟AF:REFER TO AMM21-52-11 REPLACED THE RIGHT RAM AIR ACTUATOR AND TESTOK.   挂签号：20194666SE LS TO HANDLE DD0000182见FLB0006236",552,541674-4                ,9422            ,,12942,23606.14,, ,(AOG)ACTUATOR-EXHAUST                                       ,700148,0006779 
73C,73C02581,2938    ,DE    ,CC    ,541674-4                ,75-6468         ,21    ,X,X,FAIL  ,2002-05-23,00:00,0,00:00,0,2009-01-23,45119:11,30702,45119:11,30702,航后检查发现右冲压进气门作动器不工作。   梁雪源AF：CHECKED AND FOUND THE R/H REAM AIR ACTUATOR INOP.,45119:11, 依据AMM21-52-11更换右冲压进气门作动器，操作测试正常。   梁雪源AF：REFER TO AMM21-52-11 REPLACED THE R/H REAM AIR ACTUATOR，TEST OK.,30702,541674-4                ,106-6710        ,,30146,48171.26,, ,(AOG)ACTUATOR-EXHAUST                                       ,651683,0705083 
73C,73C01866,2960    ,DE    ,CC    ,541674-4                ,42-5773         ,21    ,X,X,FAIL  ,1995-07-12,00:00,0,00:00,0,2005-05-29,44695:18,25607,44695:18,25607,见L10050143.,44695:18,    FROM L10050143 航后检查右区域温度控制器无故障信息，检查空调组件当前状态正常，发现右冲压空气系统有些卡滞，为判断此故障，把右组件冲压空气 系统锁定于“空中飞行”位，并按MEL21-5放行，并办DD2016088.   石祥涛T10050158 航后更换右冲压系统作动器，依据AMM21-52-11拆装测试正常。撤DD2016088。附件挂签：HG1011275观察件挂签：0011415冯玉钢,25607,541674-4                ,31-2102         ,,40212,63766.35,, ,(AOG)ACTUATOR-EXHAUST                                       ,197663,10050149
73C,73C01866,2960    ,DE    ,CC    ,541674-4                ,31-2102         ,21    ,X,X,FAIL  ,2005-05-29,44695:18,25607,38436:22,25336,2005-06-16,44846:32,25697,38587:36,25426,,151:14,  FROM L10051481 航后进一步检查，更换右空调冲压进气门作动筒，对进气门机构进行润滑，依据AMM21-52地面测试正常。张学文 挂签号HG1019115观察件挂签G0000046,90,541674-4                ,10543           ,GAMECO,12806,21403.55,151:14,90,(AOG)ACTUATOR-EXHAUST                                       ,203148,10051483
73C,73C01866,2960    ,DE    ,CC    ,541674-4                ,45-6440         ,21    ,X,X,FAIL  ,2005-06-12,44821:37,25678,24416:10,16477,2005-06-12,44821:37,25678,24416:10,16477,航后发现左侧冲压进气门不工作（作动器故障）,00:00,  更换新件正常李树青挂签号：1008925,0,541674-4                ,16-6606         ,,21615,38597.32,, ,(AOG)ACTUATOR-EXHAUST                                       ,202141,10061004
73C,73C02543,2990    ,DE    ,CC    ,541674-4                ,106-6710        ,21    ,X,X,FAIL  ,2008-08-12,41278:44,31803,34627:25,20822,2008-12-14,42260:08,32394,35608:49,21413,,981:24,"   执行MAOTS210101更换右空调组件冲压作动器，依据AMM21-52-11，并依据AMM21-52-11进行相关测试，结果正常。孙国宾 
Do the MAOTS210101 replace the ran air actuator of the R/H pack ref 
AMM21-52-11,and do the test ref AMM21-52-11,OK.",591,541674-4                ,9934            ,,10088,21170.27,, ,(AOG)ACTUATOR-EXHAUST                                       ,631541,10249031
73C,73C02859,2982    ,DE    ,CC    ,541674-4                ,45-6447         ,21    , , ,SWAP  ,2008-08-06,34627:25,20822,37429:26,23432,2009-02-23,36218:39,21765,39020:40,24375,"飞行中右""DOOR FULL OPEN""灯一直亮．机组    ",1591:14,"  航后依据AMM21-52-11左右对串冲压门作动器，地面测试左右冲压门工作正常．AF REFER AMM21-52-11 LEFT RIGHT INCHANGE THE RAMAIR DOOR GROUND TEST,WOKR NORMAL",943,541674-4                ,76-6697         ,武汉航达,31917,53429.01,1591:14,943,(AOG)ACTUATOR-EXHAUST                                       ,667414,10249886
73C,73C02543,2990    ,DE    ,CC    ,541674-4                ,125-6561        ,21    ,X,X,FAIL  ,2003-07-18,00:00,0,00:00,0,2008-03-15,40114:40,31083,40114:40,31083,机组起动好后按压再现电门右组件灯亮，按检查单处置可能熄灭，关车机务检查。,40114:40,  过站询问机组按主警告可复位，按组件工作正常放行。韦雄飞 TL10311600航后检查有ACT故障信息，更换右组件ACT，测试正常，运转空调按压再现电门未见右组件灯亮。韦雄飞 挂签2003468,31083,541674-4                ,42-5721         ,,35403,56855.19,, ,(AOG)ACTUATOR-EXHAUST                                       ,524191,10311598
73C,73C02939,2989    ,DE    ,CC    ,541674-4                ,17-6856         ,21    ,X,X,FAIL  ,1997-10-16,00:00,0,00:00,0,2004-04-20,20609:25,11793,20609:25,11793,机组口头反映左冲压门全开灯空中闪亮. 肖永民,20609:25,"根据21-52更换冲压门作动器,并作相关测试结果正常.挂签号0013228 李延春",11793,541674-4                ,47-6893         ,,13919,23664.12,, ,(AOG)ACTUATOR-EXHAUST                                       ,109328,1031285 
73C,73C02782,2965    ,DE    ,CC    ,541674-4                ,45-6447         ,21    ,X,X,OBS   ,1996-04-02,00:00,0,00:00,0,2008-04-27,37429:26,23432,37429:26,23432,"滑行前右组件灯亮。选择较暗温度后，复位右组件灯仍亮BEFORE TAXI R PACK AFE SWITH HIGHER TEMPERATURE,RESET,R PACK STILLLIGHT.",37429:26,"  FROM T10329749 航后更换右空调冲压空气作动器，依据AMM21-32测试正常徐津生 挂签号0005574AF REPLACE R AIR ACT REFER AMM21-32,TEST OK",23432,541674-4                ,18-7379         ,,19493,31760.24,, ,(AOG)ACTUATOR-EXHAUST                                       ,538340,10329756
73C,73C02811,2970    ,DE    ,CC    ,541674-4                ,75-6464         ,21    ,X,X,FAIL  ,2002-01-11,00:00,0,00:00,0,2009-11-17,40649:31,25634,40649:31,25634,,40649:31,"  AF完成DD200903958，更换右冲压门作动器，测试正常，王镇停AF accomplished DD200903958,replaced the right ram air door actuator,test ok.TAG:9006888。",25634,541674-4                ,10965           ,,9656,18000.51,, ,(AOG)ACTUATOR-EXHAUST                                       ,819508,10330808
73C,73C02859,2982    ,DE    ,CC    ,541674-4                ,76-6697         ,21    ,X,X,FAIL  ,2009-02-23,36218:39,21765,36218:39,21765,2010-04-17,39650:35,23619,39650:35,23619,,3431:56,"   AF完成DD201002493，更换左侧冲压空气进气门作动器，测试正常撤DD。挂签号：9011608。AF accomplished the DD201002493, replaced theleft ram air door actuator. Test was ok. TAG NO: 9011608.李新",1854,541674-4                ,72-5853         ,,30233,49715.42,, ,(AOG)ACTUATOR-EXHAUST                                       ,925810,10334743
