机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73C,73C02557,2937    ,DE    ,CC    ,57186-10                ,K2119           ,29, , ,SCH   ,2007-05-13,40166:13,26103,22314:22,11126,2008-11-20,44753:19,28944,26901:28,13967,,4587:06,"   航后完成工作指令MAOTS290029更换B系统电动泵,安装检查正常,通电测试正常.钟远峰AF ACCOMPLISHED THE TASK MAOTS290029,REPLACED THE SYSTEM EMDP,CHECKED AND TEST IT OK.",2841,57186-10                ,K2074           ,武汉航达,18110.0,28554.09,4587:06,2841,（完全禁订）PUMP                                            ,619954,0704329 
73C,73C02543,2990    ,DE    ,CC    ,57186-10                ,279046          ,29,X,X,FAIL  ,1998-03-12,00:00,0,00:00,0,2005-07-14,31625:18,26056,31625:18,26056,过站机组反映B系统压力指示3500PSI，超标。 吴征,31625:18, 更换B系统EMDP，按要求完成EMDP壳体油滤、压力油滤、系统回油滤及右发EDP壳体回油滤检查冲洗，试车检查无渗漏。吴征 挂签号HG0014977,26056,57186-10                ,K1505           ,,6401.0,10738.01,, ,（完全禁订）PUMP                                            ,211143,10061934
73C,73C02859,2982    ,DE    ,CC    ,57186-10                ,K0488           ,29,X,X,FAIL  ,1999-05-15,00:00,0,00:00,0,2005-06-30,24912:34,14929,24912:34,14929,AF发现A系统在EMDP工作时，压力指示为3300PSI 丁平,24912:34,  AF根据MM29-15-22更换A系统EMDP，根据MM29-15-34更换A系统EMDP壳体回油滤打泵测试无渗漏，长时间工作，压力稳定在3000PSI 丁平供气：1002481  P/N:65-90305-58  NAS1612-6 NAS1612-10 NAS1612-12,14929,57186-10                ,K0810           ,,37950.0,58843.16,, ,（完全禁订）PUMP                                            ,207027,10062857
73C,73C02557,2937    ,DE    ,CC    ,57186-10                ,279050          ,29,X,X,FAIL  ,1993-12-23,00:00,0,00:00,0,2006-03-03,36309:56,23871,36309:56,23871,空中A系统电动液压泵过热灯亮，机组完成检查单，正常落地。苏吉龙,36309:56,      过站将过热电门插头脱开，OVERHEAT灯仍亮，证明为灯指示问题，按MEL29-7放行航后处理。殷邦德L10141975 航后判断为EMDP引起过热灯亮，按MM29-15-21更换，并测试故障消失，请继续观察使用。 詹新权L10141976 航后更换EMDP壳体回油滤并回恢复正常测试无渗漏，詹新权P/N:NAS1612-6;NAS1612-10ON PN:65-90305-50,23871,887477                  ,MX-543639       ,,11719.0,19381.44,, ,（完全禁订）PUMP                                            ,277424,10141974
73C,73C02342,2579    ,DE    ,CC    ,57186-10                ,267896          ,29,X,X,FAIL  ,1999-01-28,00:00,0,00:00,0,2006-12-05,40681:37,25921,40681:37,25921,B系统1号电动液压泵过热. 机务,40681:37,"      过站检查B系统EMDP MIN温度高,据AMM29-15-22更换EMDP,据AMM29-15-27更换B系统消音器和油滤,据AMM29-15-61更换B系统回油滤,据AMM29-15-71更换B系统压力油滤,据AMM29-15-34更换 PN:65-90305-66 系统回油滤 65-90305-58壳体油滤 孙国生 TL10168568B系统壳体回油滤,清洗B系统油路,更换B系统液压油,地面测试B系统工作正常,无渗漏. 挂签号:0003789 9535725 PN:65-90305-15 压力油滤张国生",25921,57186-10                ,270384          ,,21747.0,42285.27,, ,（完全禁订）PUMP                                            ,360424,10168567
73C,73C02811,2970    ,DE    ,CC    ,57186-10                ,K0370           ,29,X,X,FAIL  ,1996-08-24,00:00,0,00:00,0,2007-04-26,33022:28,21073,33022:28,21073,航后检查B系统EMDP壳体回油滤有大量金属屑,33022:28,"    依据AMM29-15-22更换B系统EMDP,并更换B系统EMDP,EDP壳体回油滤压力油滤，系统回油滤，并试车测试正常，办理DD3001419 。程全PN:65-90305-58/65-90305-66/65-90305-15 
TL10217826 航后撤DD3001419，更换壳体回油滤。寇秀华
壳体回油滤：65-90305-58",21073,57186-10                ,K1906           ,,23065.0,42453.14,, ,（完全禁订）PUMP                                            ,409565,10217808
73C,73C02859,2982    ,DE    ,CC    ,57186-10                ,K0494           ,29,X,X,FAIL  ,1997-03-14,00:00,0,00:00,0,2008-11-11,35427:06,21292,35427:06,21292,空中B系统电动液压泵低压灯亮。机组,35427:06,"           检查B系统EMDP壳体余油滤有大量金属屑，更换EMDP壳体回油滤，压力油滤，回油滤及消音器，并完成管路冲洗，测试B系统EMDP工作正常，办理OIFC7096591和7096592。严策   TR found metal partial on EMDP case drain filterreplaced B EMDP,case filter,pressure filter,return filter andacoustic filter,flushed the hydraulic tube,test B EMDP workednormal,raised OIFC7096591  7096592. 壳体油滤65-90305-58回油滤65-90305-66 压力油滤65-90305-15FL10258573航后更换B系统EMDP壳体油滤压力油滤和回油滤地面检查无渗漏无金属屑操作测试正常关闭FC7096592.成功 AF replace the B system EMDPoil sieve pressure oil sieve and return oil sieve and test ok closeFC7096592.
油滤　65-90305-58　65-90305-66　65-90305-15",21292,887477                  ,MX-492433       ,,44380.0,70220.43,, ,（完全禁订）PUMP                                            ,615527,10252028
73C,73C02939,2989    ,DE    ,CC    ,57186-10                ,K0623           ,29,X,X,FAIL  ,2003-08-27,00:00,0,00:00,0,2007-07-05,30853:51,17708,30853:51,17708,TL10261788,30853:51,  航后检查发现EMDP泵插头上销钉存在短路现象，更换EMDP泵通电测试正常PN ON:NAS1612-6  PN ON:NAS1612-10   PN ON:NAS1612-12挂签号：1104755　　　高青松,17708,57186-10                ,K1227           ,,23454.0,38583.28,, ,（完全禁订）PUMP                                            ,433745,10261792
73C,73C02859,2982    ,DE    ,CC    ,57186-10                ,278366          ,29, , ,SCH   ,2009-01-23,35978:01,21624,00:00,0,2009-01-24,35988:02,21630,10:01,6,,10:01,"    因借件需拆还，航后更换B系统EMDP泵，测试系统工作正常。无渗漏  AF due to return EMDP ,replace the system B electric motordriven pump ,test HYD system work normal.and no leakage .挂签 号：2019535.封圈：NAS1612-12;NAS1612-6;NAS1612-10洪永锋",6,57186-10                ,K2352           ,,16632.0,32192.49,, ,（完全禁订）PUMP                                            ,651955,10272675
73C,73C02922,2987    ,DE    ,CC    ,57186-10                ,256862          ,29,X,X,FAIL  ,2003-03-30,00:00,0,00:00,0,2007-12-07,32535:18,18721,32535:18,18721,飞行中B系统液压泵的电动1#泵（ELEC1）灯亮，按检查单处理。王庆凯,32535:18,"   过站检查发现B系统EMDP泵损坏，依据29-15-22更换EMDP,测试无渗漏并完成冲洗B系统管路工作，依据手册要求办理FC7074074.王强PN:65-90305-9A 65-90305-582007-12-12,更换EMDP回油滤.撤除FC7074074.叶少冬",18721,57186-10                ,K1747           ,,32073.0,50225.19,, ,（完全禁订）PUMP                                            ,485943,10281109
