飞机号,时间,环境温度(℃),左温差,右温差,左边CONTCABINDUCT,左边FWDDUCT,左边AFTDUCT,左边LPACK,左边SUPPLYDUCT,右边CONTCABINDUCT,右边FWDDUCT,右边AFTDUCT,右边LPACK,右边SUPPLYDUCT,排故措施
1161,4/18/2019,17,5,3,4,0,0,22,0,0,3,3,20,0,更换右组件TCV
1351,5/8/2019,19,7,3,3,0,0,26,0,0,4,3,22,0,更换右侧冲压进气进口作动筒
1489,4/14/2019,28,-3,-4,2,0,0,25,0,0,8,8,24,0,更换左组件PFTC，右PFTC串件
1489,4/21/2019,24,5,5,4,0,0,29,0,0,4,4,29,0,更换前舱配平活门、对串P5-10面板
1538,5/2/2019,24,2,1,2,0,0,26,0,0,4,4,25,0,更换空调面板组件（P5-10)
1541,4/10/2019,8,16,18,3,0,0,24,0,0,2,3,26,0,更换右侧冲压进气出口作动器
1568,4/27/2019,10,13,8,6,0,0,23,0,0,6,6,18,0,更换右侧冲压进气进口作动筒、更换PFTC2
1725,5/8/2019,17,7,11,4,0,0,24,0,0,4,6,28,0,更换ACM
1733,5/3/2019,20,5,8,6,0,0,25,0,0,6,7,28,0,更换温控面板
1735,4/27/2019,27,3,-1,5,0,0,30,0,0,5,5,26,0,更换左组件温度传感器
1783,4/14/2019,21,-21,-1,5,0,0,0,0,0,5,6,20,0,对串T488/T489
1785,4/18/2019,20,4,7,7,0,0,24,0,0,7,8,27,0,更换左组件TCV
1786,4/8/2019,20,5,4,3,0,0,25,0,0,3,3,24,0,更换P5-17控制面板
1795,5/2/2019,,,,,,,,,,,,,,更换前舱配平活门
1795,5/3/2019,,,,,,,,,,,,,,更换驾驶舱区域温度控制配平活门
1796,5/1/2019,27,5,7,6,0,0,32,0,0,6,4,34,0,更换驾驶舱配平活门
1796,5/3/2019,15,9,-15,6,0,0,24,0,0,5,4,0,0,对串ZTC1、吹除左组件散热器
1906,4/10/2019,22,10,2,7,0,0,32,0,0,0,0,24,0,更换右组件TCV
1927,4/11/2019,,,,,,,,,,,,,,更换左ACM、完成左组件散热器反向吹除
1927,4/21/2019,25,3,4,4,0,0,28,0,0,8,5,29,0,更换P5-17面板
1996,4/17/2019,,,,,,,,,,,,,,更换左侧ACM
206P,4/16/2019,17,9,7,4,0,0,26,0,0,4,4,24,0,更换驾驶舱配平活门
5137,4/17/2019,28,-5,4,3,0,0,23,0,0,3,3,32,0,更换右侧再循环风扇
5141,5/6/2019,20,10,10,5,0,0,30,0,0,5,6,30,0,更换左组件TCV
5337,5/2/2019,18,2,2,4,0,0,20,0,0,6,5,20,0,更换右组件TCV
5346,4/18/2019,25,6,6,4,0,0,31,0,0,4,3,31,0,完成右组件散热器反向吹除
5346,5/1/2019,20,2,6,6,0,0,22,0,0,6,6,26,0,更换右组件冲压进气门作动筒
5346,5/7/2019,26,6,5,6,0,0,32,0,0,6,6,31,0,完成右组件反向吹除
5373,4/30/2019,26,4,4,6,0,0,30,0,0,8,8,30,0,更换右侧空调组件流量控制关断活门
5406,4/12/2019,28,2,2,7,0,0,30,0,0,6,4,30,0,更换驾驶舱配平活门
5407,4/27/2019,20,5,4,4,0,0,25,0,0,5,4,24,0,更换右组件TCV
5408,4/18/2019,25,6,6,5,0,0,31,0,0,5,5,31,0,更换左组件TCV、更换驾驶舱配平活门
5428,4/17/2019,15,9,16,4,0,0,24,0,0,4,4,31,0,更换作动器
5462,5/4/2019,20,6,7,5,0,0,26,0,0,3,3,27,0,更换前舱配平活门
5466,4/26/2019,15,-5,-5,3,0,0,10,0,0,3,3,10,0,更换TEMPBULB
5686,4/19/2019,,,,,,,,,,,,,,更换右组件温度指示传感器
5713,4/11/2019,31,,-3,5,0,0,29,0,0,4,5,28,0,T471当地无料未更换
5713,4/13/2019,12,10,8,6,0,0,22,0,0,6,6,20,0,更换ZTC1
5713,4/13/2019,12,10,8,6,0,0,22,0,0,6,6,20,0,更换右组件传感器T474和T489
5713,4/27/2019,28,0,2,4,0,0,28,0,0,6,6,30,0,更换驾驶舱配平空气活门
5805,4/22/2019,20,-20,-20,0,0,0,0,6,0,0,0,0,6,更换ACM
5855,5/3/2019,22,5,4,6,0,0,27,0,0,5,5,26,0,更换空调温度控制面板
