机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73H,73N02501,BKBP    ,DE    ,CC    ,2206400-2               ,5508            ,21    ,X,X,FAIL  ,2008-01-18,07:26,8,07:26,8,2010-02-10,5643:12,2536,5643:12,2536,"BEFORE A/C DEPARTURE, RIGHT PACK FOUND INOP EITHER HIGHT OR AUTOMODE.",5635:46,"   ITEM TRANSFER TO ADD058 IAW MEL21-1, A/C FLIGHT ALTITUDE REMAINAT OR BELOW 25000FT REQUIRED.PLS REFER TO AMM21-51-01, REPLACE THE RIGHT PACK FLOW CONTROLVALVE AND AIR CYCLE MACHINE, TEST WORK NORMAL ADD058 CLEARED.",2528,2206400-2               ,4926            ,,3295,6967.04,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,877766,07021028
73H,73N02501,BKBP    ,DE    ,CC    ,2206400-2               ,5508            ,21    ,X,X,FAIL  ,2010-04-28,6268:43,2808,5643:12,2536,2010-05-04,6273:00,2810,5647:29,2538,RH PACK FAULT LIGHT ILLUMINATED ON GROUND.,04:17,"   PACK 2 WAS RENDERED INOP AS PER MEL REF21-1.NO MAINTENANCE ACTION ISREQID FOR THIS DEFERRAL.ADD068 RAISED.T/SHOOT C/OUT IAW FIM 21-52 TASK 829,RH PACK ACM REPLACED WITH SPAREORIGINALLY REMOVED CHECK IAW AMM 21-51-01 SATIS.ADD068 CLEARED.",2,2206400-2               ,4926            ,HONEYWELL,3295,6967.04,04:17,2,(AOG)AIR CYCLE MACHINE（包修）                              ,939869,21041003
73H,73N02501,BKBP    ,DE    ,CC    ,2206400-2               ,4926            ,21    , , ,SCH   ,2010-02-10,5643:12,2536,6280:17,2990,2010-04-28,6268:43,2808,6905:48,3262,"REF RWO NO. HKEMCP 306, PLS REPL NO2 PACK ACM FOR LOAN RETURN.",625:31,   NO 2 PACK ACM REPLD IAW AMM 21-51-04 BUT COMP INLET DUCTDISCONNECTED FOR REFL OF 2EA PACKING X'FER TO LP 210410-50 ITEM 15RH PACK FLOW CONT SOV IAW AMM 21-51-01 AND ACM INSTALLATION TESTC/OUT IAW AMM21-51-04 SATIS. LEAKAGE CHK SATIS.,272,2206400-2               ,5508            ,HONEYWELL,8012,13464.52,625:31,272,(AOG)AIR CYCLE MACHINE（包修）                              ,939268,21041049
73N,73N00972,2159    ,DE    ,CC    ,2206400-2               ,3997            ,21    ,X,X,FAIL  ,2015-07-06,46192:53,23023,31877:34,15752,2015-07-07,46192:53,23023,31877:34,15752,FROM   FLB00000718B,00:00," 航后更换左空调ACM,并完成相关测试,结果正常.      杜艳辉AF replaced left condition ACM to function test ok",0,2206400-2               ,5848            ,北京丰荣,17195,33418.46,3197:57,1393,(AOG)AIR CYCLE MACHINE（包修）                              ,3323059,00000720
73N,73N01033,2158    ,DE    ,CC    ,2206400-2               ,38-713          ,21    ,X,X,FAIL  ,2012-02-18,35332:10,17323,32930:05,20342,2015-05-14,45900:49,22718,43498:44,25737,"航前检查发现右组件PACK灯亮,检查后发现ACM不工作.    韩杰PF check found RH assembly light bright check found the ACM do notwork",10568:39,"      航前依据MEL21-01-01-01放行飞机.    詹新权PF refer to MEL21-01-01-01 release itFLB00000892B    航后清洁右组件散热器,检查无冲压空气,依据AMM21-51-00更换空气循环机,测试右组件工作正常.AF clean right pack exchange check no rainair refer AMM21-51-00replace ACM test    郭新龙   封圈P/N  SP026T041  BACP11K62-158S604-70",5395,2206400-2               ,6718            ,武汉航达,14940,29534.46,10568:39,5395,(AOG)AIR CYCLE MACHINE（包修）                              ,3229416,00000891
73N,73N01649,5115    ,DE    ,CC    ,2206400-2               ,3702            ,21    ,X,X,FAIL  ,2005-02-01,00:00,0,00:00,0,2016-10-27,38599:41,19602,38599:41,19602,,38599:41,    FORM FL00002609B航后依据AMM21-51-04更换ACM依据AMM21-51-10更换TCV测试正常   刘建亮李龙AF REF TO AMM21-51-04 REAPLCE THE ACM REF T OAMM21-51-10REAPLCE THE TCV TEST IS OK,19602,2206400-2               ,10768           ,,7916,13588.26,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,4437137,00002071
73N,73N00972,2159    ,DE    ,CC    ,2206400-2               ,5848            ,21    ,X,X,FAIL  ,2015-07-07,46192:53,23023,22948:59,11891,2016-04-01,48680:54,24211,25437:00,13079,实时监控左组件跳开.   杜定杰MONITOR THE LEFT PACK TRIP,2488:01,"       航后完成 MCO-2016-04-01-63 依据 AMM21-51-40 更换左组件流量活门和390过热电门, 依据 AMM21-00-65 完成相关测试, 发现ACM卡滞, 更换左组件ACM测试正常.   杜定杰AF ACCOMPLISH MCO-2016-04-01-63 REFER TO AMM21-00-65 REPLACE THE LEFTFLOW CONTROL AND SHUT OFF VALVE AND THE 390 HEAT SWITCH REFERAMM21-00-05 ACCOMPLISH THE BITE TEST FIND ACM FAULT REPLACE THE LEFTPACK ACM TEST WORK IS NORMAL.SEAL BACP11K5/BACP11K6 6EA   GASKET 2215108-1",1188,2206400-2               ,2518            ,北京丰荣,27479,48348.46,2488:01,1188,(AOG)AIR CYCLE MACHINE（包修）                              ,3915666,00005411
73N,73N02938,5482    ,DE    ,CC    ,2206400-2               ,49-1301         ,21    ,X,X,FAIL  ,2016-05-19,22017:28,11883,53857:02,26496,2017-06-26,24999:57,13625,56839:31,28238,,2982:29," 航后依据AMM21-51-04更换ACM,测试正常 董建喜AF refer to AMM21-51-04 repalced the air cycle test it ok",1742,2206400-2               ,6071            ,北京丰荣,14798,29273.05,2982:29,1742,(AOG)AIR CYCLE MACHINE（包修）                              ,5089123,00007836
73N,73N00972,2159    ,DE    ,CC    ,2206400-2               ,2937            ,21    ,X,X,FAIL  ,2009-04-20,25991:44,12822,21411:15,10506,2016-05-26,49169:14,24600,44588:45,22284,航后检查右空调ACM损伤超标.      杨盛林AF check find ACM worn to limit dosn't work,23177:30," 航后依据AMM25-51-04更换ACM,测试正常.     杨盛林AF refer to AMM25-51-04 replace ACM test ok",11778,2206400-2               ,4010            ,北京丰荣,19432,38356.41,23177:30,11778,(AOG)AIR CYCLE MACHINE（包修）                              ,4049399,00008423
73N,73N01015,2157    ,DE    ,CC    ,2206400-2               ,38-649          ,21    ,X,X,FAIL  ,2007-05-29,19591:31,9823,286:47,137,2016-05-05,48672:56,24416,29368:12,14730,航后检查发现左侧ACM叶片破损.   齐艳涛AF CHECK FOUND L ACM BLADE WAS BROKEN,29081:25, 航后依据 AMM21-51-04 更换左侧ACM测试正常.   杨盛林AF REFER TO AMM21-51-04 REPLACE L ACM TEST IS OK,14593,2206400-2               ,38-468          ,武汉航达,39774,60039.29,29081:25,14593,(AOG)AIR CYCLE MACHINE（包修）                              ,3998318,00008503
