机型,制造序列号,机号,参考类型,件号,序号,件号描述,装上件号,装上序号,安装日期,拆换日期,章节号,部件装上使用小时数,部件装上使用循环数,部件拆下使用小时数,部件拆下使用循环数,部件本次装机使用小时,最近送修公司,送修至拆下时间/FH,送修至拆下时间/CY,故障描述,故障处理,拆换原因
73N,73N02373,5346    ,DE    ,3505945-12              ,GRTF0394        ,STARTER ASSY                                                ,3505945-12              ,GRT11068        ,2016-06-09,2019-06-19,80    ,26185:23,13154,34922:14,17759,8736:51,武汉航达,8736:51,4605,左发起动机失效        黄长辉LH startal pail,"       航后检查起动机叶片有掉块，检查磁堵和滑油回油滤，未见异常无其它损伤依据AMM80-11-01-400-801-F00更换左发起动机测试正常无渗漏梁金贵  /   DIC黄长辉AF check the blake of LH stator broken check the MCD and seamegonfiltor is ok ,no other damages replace stador of LH ENG byAMM80-11-01   ( FLB11719054A ) test ok ,no leakage封圈： S3225-160  封圈：S3225-222 封圈：AS1895-7-325封圈： J221P027(3EA)  回油滤：65-90305-86   封圈：M83248-2-905",FAIL  
73N,73N06025,7988    ,DE    ,3505945-11              ,GRTA4105C       ,(AOG)STARTER ASSY                                           ,3505945-11              ,GRTA5153C       ,2017-08-15,2019-06-18,8011  ,46662:30,24334,52789:46,27223,6127:16,北京丰荣,6127:16,2889,"启动左发时EGT到100度左右听到一声异响，之后EGT不上升并且白框闪烁。第二次启动时N2不上升，请排故A strange sound is heard around 100 degrees when starting the leftengine, after which the EGT does not rise and the white box flashes，N2 does not rise on the second boot ，Please line fault机组",   航后依据AMM80-11-01更换左发起动机，检查测试正常，挂签号：3836450AF refer AMM80-11-01 replace left engin ，check it normal，TAG :3836450吴化江,FAIL  
73N,73N03344,5520    ,DE    ,3505945-12              ,GRTF7196        ,STARTER ASSY                                                ,3505945-12              ,GRTF3788        ,2018-07-09,2019-06-15,80    ,18290:20,9593,20832:35,10876,2542:15,武汉航达,, ,右发起动机崩溃性损伤.  覃海波RIGHT ENGINE STARTER BREAK DOEN.,"             航后依据AMM80-11-01更换起动机，发现花键腔大量金属碎屑，依据AMM80-11-02 拆检起动机QAD适配器后部有碎屑，起动机磁堵大量金属碎屑，依据AMM79-0000-200-804-F00拆检MCD,发现AGB/TGB磁堵有大量金属碎屑,依据AMM80-11-2安装QAD适配器，依据AMM12-13-11-100-801冲洗滑油系统一遍，试车测试起动机正常无渗漏。依据AMM79-00-00-200-804-F00拆检MCD AGB/TGB磁堵仍有金属碎屑，依据AMMTASK12-13-11-100-801再次冲洗滑油系统四遍，试车测试再次检查MCD无金属碎屑。依据AMM79-21-03/401更换滑油供油滤，依据AMM79-21-06/401更换滑油回油滤。试车员：尹菁 毛梁AF REFER TO AMM80-00-01 REPALCED THE STARTER AND TEST OK NO LEAKAGECLEAN THE QAD DAPTER AND REINSTALLED IT.REFER TO TASK79-00-00-200-804-F00 FLUSH ENGINE 2 OIL SYSTEM.REFER TO AMM79-21-03 REPLACED THE OILSUPPLY FILTER.REFER TO AMM79-21-06 REPLACED THE SCAVENGE OIL FILTERAND CHECK OK,NO LEAKAGE.        李威威     互检：曹驰",FAIL  
73N,73N04716,5855    ,DE    ,3505945-12              ,GRTA9007        ,STARTER ASSY                                                ,3505945-12              ,GRTF1856        ,2018-09-25,2019-06-04,8011  ,38248:43,19611,40252:04,20595,2003:21,霍尼韦尔,2003:21,984,,"      航后完成QZ-80-010-02-01详细检查右发起动机磁堵是否有金属碎屑.发现金属屑,不符合工卡要求,依据AMM80-11-01.更换起动机,检查正常.无渗漏. AFaccomplish QZ-80-010-02-01 detail inspection of right engine startermagnetic chip detector for metal chips.found chips not in standardrefer to AMM80-11-01 replace the starter,check normal. no leakage.封圈/packing PN:M83248-1-008 封圈/packing PN:S3225-160 封圈/packingPN:S3225-222",FAIL  
73N,73N04904,5823    ,DE    ,3505945-12              ,GRTF7419        ,STARTER ASSY                                                ,3505945-12              ,GRTA7564        ,2019-04-06,2019-04-24,8011  ,19132:28,9935,19278:27,10031,145:59,霍尼韦尔,145:59,96,航后发现右发起动机磁堵无法拔出  侯泽召AF FOUND THE RIGHT ENGINE STARTER MAGRETIC CHIP DETECTOR FAULT,   依据AMM80-11-01 更换右发起动机 依据AMM71-00-00 完成慢车测试 结果正常REFER TO AMM80-11-01 REPLACE THE RIGHT ENGINE STARTER AND REFER TOAMM71-00-00 RUNNING TEST IT THE RESULT IS NORMAL侯泽召,FAIL  
73N,73N02648,5375    ,DE    ,3505945-12              ,GRTF3827        ,STARTER ASSY                                                ,3505945-12              ,GRTF5551        ,2017-02-14,2019-04-02,8011  ,20826:41,10539,26964:46,13601,6138:05,武汉航达,6138:05,3062,二发起动起动失效.   周贤能NO 2 engine start fail,"  依据AMM80-11-01 更换右发起动机,检查正常.未完成测试.   周贤能refer AMM80-11-01 replace engine NO.2 start check normal hasnot run the engine to test",FAIL  
73N,73N02831,5429    ,DE    ,3505945-12              ,GRTA2873C       ,STARTER ASSY                                                ,3505945-12              ,GRT40592        ,2019-01-10,2019-03-14,8011  ,53139:43,26534,53605:32,26778,465:49,芜湖双翼,3439:44,1852,,     航后完成工卡QZ-H80-11-01-001检查左发起动机有无滑油渗漏.结果发现有滑油渗漏.请后续处理.叶少冬 AF ACCOMPLISH TASK QZ-H80-11-01-001 CHECKENGINE STARTER FOR OIL LEAK-LEFT ENGINE the result found the oil leakFROM FLB 11651435A依据手册AMM80-11-01更换左发启动机并完成滑油勤务工作.张生龙 AF REFERTO AMM80-11-01 repalce LH ENG started accomplish oill servicing,FAIL  
73N,73N04596,5798    ,DE    ,3505945-12              ,GRTF9210        ,STARTER ASSY                                                ,1851M36P12              ,GRT31094        ,2019-01-29,2019-03-06,8011  ,15256:23,7779,15567:20,7922,310:57,武汉航达,310:57,143,检查右发起动机有滑油痕迹。   邓巍CHECK THE RIGHT ENG STARTER HAD OIL.,"  依据AMM80-11-01更换右发起动机，检查正常无渗漏。REF AMM80-11-01 REPLACE THE RIGHT ENG STARTER,CHECK IT OK,NO LEAKAGE.邓巍、互检：毛梁、试车：毛梁",FAIL  
73N,73N03713,5581    ,DE    ,3505945-12              ,GRTF5551        ,STARTER ASSY                                                ,3505945-12              ,GRTF0604        ,2017-12-13,2019-03-01,8011  ,18984:40,9777,22479:35,11528,3494:55,北京丰荣,3494:55,1751,左发起动机漏滑油。THERE IS OIL LEAKAGE FROM ENG1 STARTER.           覃海波,"   航后依据AMM80-11-01更换左发起动机试车测试正常无渗漏。AF REFER TO AMM80-11-01 REPLACE ENG1 STARTER ENGINE RUGINE TEST OK,NO LEAKAGE PUT THE AIRNAFT BACK NORMAL.       覃海波  互检：赵杰试车：毛梁",FAIL  
73N,73N03186,5503    ,DE    ,3505945-12              ,GRTF6111        ,STARTER ASSY                                                ,1851M36P12              ,GRT11617        ,2018-02-21,2019-02-19,8011  ,18073:12,9604,20622:23,11332,2549:11,霍尼韦尔,2549:11,1728,左发起动机叶片断裂。张庆海LH ENG STARTER BLADE BROKEN.,"   航后依据AMM80-11-01与B-1435对串左发起动机，试车测试正常，无渗漏，检查起动机磁堵AGB/TGB磁堵无碎屑。张庆海 试车员：卢贤明 互检：卢贤明AF REF AMM80-11-01 CHANGE L/H ENG STARTER WITH B-1435,ENG TESTOK,NO LEAK,CHECK STARTER AND AGB/TGB MAGNETIC PLUGS NO DETRITUS.",CAN   
