日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,右边FWD DUCT,右边AFT DUCT,右边L PACK,执行反吹左侧,执行反吹右侧,更换部件,Fail,左温差,右温差
2019-06-21 09:45,KMG,5409,737-800,20,4,24,4,4,26,,,,,4,6
2019-06-21 08:50,HAK,1785,737-800,30,6,34,9,8,37,,,,,4,7
2019-06-21 08:35,KMG,6015,737-800,20,4,30,4,4,24,,,,,10,4
2019-06-21 08:30,FOC,7113,737-800,30,8,37,6,6,37,,,,,7,7
2019-06-21 08:29,FOC,7113,737-800,30,8,38,6,6,37,,,,,8,7
2019-06-21 08:16,TYN,1728,737-800,25,4,28,5,5,24,,,,,3,-1
2019-06-21 07:51,URC,7198,737-800,22,4,24,4,3,26,,,,,2,4
2019-06-21 07:31,XMN,5480,737-800,26,6,34,6,6,32,,,,,8,6
2019-06-21 07:31,XMN,5479,737-800,28,6,34,6,5,32,,,,,6,4
2019-06-21 07:30,XMN,7399,737-800,28,4,32,4,5,30,,,,,4,2
2019-06-21 07:24,HHA,5405,737-800,31,6,35,4,6,34,,,,,4,3
2019-06-21 06:53,HHA,1347,737-800,30,7,35,4,5,34,,,,,5,4
2019-06-21 06:53,FOC,1348,737-800,30,6,36,7,7,34,,,,,6,4
2019-06-21 06:44,PEK,1213,737-800,27,6,36,6,6,34,,,,,9,7
2019-06-21 06:41,FOC,1906,737-800,30,6,35,7,6,34,,,,,5,4
2019-06-21 06:28,URC,205V,737-800,24,6,28,4,6,26,,,,,4,2
2019-06-21 06:22,SYX,1489,737-800,28,8,37,6,6,35,,,,,9,7
2019-06-21 06:22,URC,1498,737-800,21,4,29,4,4,27,,,,,8,6
2019-06-21 06:21,SYX,5662,737-800,28,8,36,6,8,32,,,,,8,4
2019-06-21 06:21,URC,5713,737-800,22,5,28,6,4,28,,,,,6,6
2019-06-21 06:20,URC,1726,737-800,22,4,29,4,4,27,,,,,7,5
2019-06-21 06:16,PEK,5538,737-800,30,7,36,4,3,36,,,,,6,6
2019-06-21 06:01,XIY,1733,737-800,20,3,29,3,2,27,,,,,9,7
2019-06-21 05:53,PEK,5539,737-800,28,9,30,6,6,26,,,,,2,-2
2019-06-21 05:47,FOC,7395,737-800,30,6,34,7,7,36,,,,,4,6
2019-06-21 05:46,CKG,1386,737-800,24,8,40,7,7,38,1,1,,11,16,14
2019-06-21 05:34,PEK ,5482,737-800,28,4,30,4,5,30,,,,,2,2
2019-06-21 05:34,PEK ,5482,737-800,28,4,30,4,4,30,,,,,2,2
2019-06-21 05:29,HGH,1101,737-800,24,3,33,2,2,30,,,,,9,6
2019-06-21 05:19,XIY,1480,737-800,21,4,26,4,4,26,,,,,5,5
2019-06-21 05:11,HHA,5540,737-800,30,5,34,6,5,35,,,,,4,5
2019-06-21 05:10,HHA,5540,737-800,30,5,34,6,5,35,,,,,4,5
2019-06-21 04:51,CAN,5483,737-800,30,6,36,4,4,36,,,,,6,6
2019-06-21 04:45,KMG,6800,737-800,20,4,26,4,4,26,,,,,6,6
2019-06-21 04:39,XIY,5116,737-800,21,4,26,4,4,27,,,,,5,6
2019-06-21 04:38,CGO,1798,737-800,22,4,33,4,4,28,,,,,11,6
2019-06-21 04:31,PEK,5580,737-800,25,3,31,2,3,35,,,,,6,10
2019-06-21 04:30,URC,2157,737-800,21,4,25,4,4,24,,,,,4,3
2019-06-21 04:29,URC,2157,737-800,21,4,25,4,4,24,,,,,4,3
2019-06-21 04:22,PEK,6061,737-800,25,6,29,5,5,30,,,,,4,5
2019-06-21 04:17,ZGC,7398,737-800,15,8,20,8,7,18,,,,,5,3
2019-06-21 04:14,URC,1323,737-800,22,3,29,3,3,26,,,,,7,4
2019-06-21 04:13,PEK,6103,737-800,27,6,30,8,8,34,,,,,3,7
2019-06-21 04:13,XIY,5115,737-800,21,3,22,6,6,24,,,,,1,3
2019-06-21 04:11,DLC,1487,737-800,20,3,28,3,3,28,,,,,8,8
2019-06-21 04:09,CAN,5418,737-800,30,6,36,6,4,36,,,,,6,6
2019-06-21 04:07,DLC,1103,737-800,20,4,28,4,4,24,,,,,8,4
2019-06-21 04:06,HHA,1542,737-800,29,2,22,4,6,23,,,,,-7,-6
2019-06-21 04:05,XIY,1482,737-800,20,6,30,6,5,24,,,,,10,4
2019-06-21 04:04,KMG,7167,737-800,20,8,30,6,6,24,,,,,10,4
2019-06-21 04:02,PEK,5465,737-800,27,4,34,4,4,36,,,,,7,9
2019-06-21 03:54,XIY,1161,737-800,20,4,31,4,4,30,,,,,11,10
2019-06-21 03:54,FOC,5406,737-800,27,6,36,5,6,32,,,,,9,5
2019-06-21 03:46,CAN,1502,737-800,28,4,32,4,4,34,,,,,4,6
2019-06-21 03:43,DLC,7173,737-800,21,4,28,4,4,28,,,,,7,7
2019-06-21 03:39,DLC,1103,737-800,20,4,28,4,4,24,,,,,8,4
2019-06-21 03:38,KMG,1208,737-800,18,3,29,3,3,28,,,,,11,10
2019-06-21 03:36,XIY,1162,737-800,20,5,28,5,5,28,,,,,8,8
2019-06-21 03:32,DLC,1547,737-800,20,6,28,6,6,28,,,,,8,8
2019-06-21 03:27,5428,DLC,737-800,21,4,26,5,4,29,,,,,5,8
2019-06-21 03:24,KMG,7991,737-800,20,6,32,6,6,30,,,,,12,10
2019-06-21 03:20,HAK,5638,737-800,28,6,37,7,7,37,,,,,9,9
2019-06-21 03:20,DLC,1496,737-800,21,6,30,5,5,30,,,,,9,9
2019-06-21 03:19,HHA,1928,737-800,29,5,27,4,4,28,,,,,-2,-1
2019-06-21 03:19,ZGC,5338,737-800,16,4,24,4,4,26,,,,,8,10
2019-06-21 03:19,ZGC,5852,737-800,15,4,26,4,4,26,,,,,11,11
2019-06-21 03:17,XIY,1729,737-800,21,4,28,4,4,29,,,,,7,8
2019-06-21 03:17,ZGC,7886,737-800,20,4,26,2,2,26,,,,,6,6
2019-06-21 03:16,CAN,5417,737-800,30,7,37,8,8,37,,,,,7,7
2019-06-21 03:13,MIG,5449,737-800,20,3,31,2,3,29,,,,,11,9
2019-06-21 03:11,PEK,1796,737-800,27,5,32,5,6,30,,,,,5,3
2019-06-21 03:03,HAK,5625,737-800,29,8,36,6,5,34,,,,,7,5
2019-06-21 02:59,XIY,1548,737-800,30,4,30,4,4,26,,,,,0,-4
2019-06-21 02:57,SZC,1346,737-800,29,4,35,5,5,35,,,,,6,6
2019-06-21 02:54,FOC,1906,737-800,30,7,36,8,7,36,,,,,6,6
2019-06-21 02:53,XIY,1481,737-800,22,6,30,6,6,32,,,,,8,10
2019-06-21 02:49,HHA,5709,737-800,30,10,39,10,11,39,1,1,,11,9,9
