日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,左边SUPPLY DUCT,右边FWD DUCT,右边AFT DUCT,右边L PACK,右边SUPPLY DUCT,执行反吹左侧,执行反吹右侧,换件,执行反吹左侧 (机器输出结果),执行反吹右侧 (机器输出结果)
2019-07-16 11:44,XNN,7399,737-800,20,4,22,0,5,4,23,0,,,,,
2019-07-16 11:42,XNN,7398,737-800,18,5,23,0,4,6,23,0,,,,,
2019-07-16 11:06,CTU,6800,737-800,23,3,29,0,4,3,28,0,,,,,
2019-07-16 11:00,HHA,7377,737-800,28,6,34,0,7,6,30,0,,,,,
2019-07-16 09:14,XIY,1483,737-800,25,4,28,0,4,4,32,0,,,,,
2019-07-16 09:00,XMN,5522,737-800,22,9,36,0,8,9,37,0,是,是,,,
2019-07-16 08:59,XMN,1497,737-800,29,9,37,0,4,3,36,0,,,,,
2019-07-16 08:58,XMN,1785,737-800,30,4,30,0,8,8,32,0,,,,,
2019-07-16 08:58,XMN,1141,737-800,30,4,34,0,5,5,32,0,,,,,
2019-07-16 08:31,KMG,5292,737-700,20,0,0,6,0,0,0,5,,,,,
2019-07-16 08:27,PE?K,5687,737-800,25,5,32,0,5,5,32,0,,,,,
2019-07-16 08:20,URC,1569,737-800,28,4,28,0,3,3,27,0,,,,,
2019-07-16 08:07,KMG,6016,737-800,20,4,29,0,4,4,26,0,,,,,
2019-07-16 07:53,CGO,5406,737-800,29,6,22,0,6,6,24,0,,,,,
2019-07-16 07:31,HHA,7397,737-800,30,4,34,0,5,4,32,0,,,,,
2019-07-16 07:24,XIY,5581,737-800,30,7,26,0,5,4,24,0,,,,,
2019-07-16 07:22,PEK,5852,737-800,27,5,31,0,5,4,30,0,,,,,
2019-07-16 07:13,HAK,1215,737-800,30,4,34,0,5,5,37,0,,,,,
2019-07-16 07:12,HAK,5439,737-800,28,5,35,0,6,6,35,0,,,,,
2019-07-16 06:55,HAK,1928,737-800,27,6,28,0,8,8,34,0,,,,,
2019-07-16 06:54,ZGC,6060,737-800,20,6,26,0,6,8,24,0,,,,,
2019-07-16 06:54,ZGC,1501,737-800,20,4,28,0,8,8,24,0,,,,,
2019-07-16 06:52,ZGC,6065,737-800,15,4,26,0,5,6,24,0,,,,,
2019-07-16 06:50,FOC,1480,737-800,28,4,30,0,5,4,32,0,,,,,
2019-07-16 06:30,CGO,1587,737-800,28,4,32,0,5,4,33,0,,,,,
2019-07-16 06:09,PEK ,1799,737-800,32,3,33,0,3,3,31,0,,,,,
2019-07-16 05:50,KMG,7988,737-800,19,3,31,0,5,4,32,0,,是,,,
2019-07-16 05:38,KMG,5449,737-800,20,4,28,0,4,5,26,0,,,,,
2019-07-16 05:38,KMG,6015,737-800,20,4,24,0,3,4,23,0,,,,,
2019-07-16 05:37,CGO,1208,737-800,32,4,31,0,4,4,28,0,,,,,
2019-07-16 05:21,HAK,5467,737-800,30,2,30,0,2,2,24,0,,,,,
2019-07-16 05:06,URC,205V,737-800,26,2,30,0,3,2,29,0,,,,,
2019-07-16 05:05,HGH,5337,737-800,27,4,33,0,6,5,34,0,,,,,
2019-07-16 05:03,URC,1131,737-800,20,4,30,0,4,4,30,0,,,,,
